link,missing_rate,method_type,method,rmse,nrmse,r2,mape
ma-ac,0.2,baseline,BackwardFill,107.23,13.63,-0.5782137581161897,8.87
ma-ac,0.2,baseline,RollingMean,91.54,11.63,-0.15008180224791312,8.46
ma-ac,0.2,baseline,LinearInterpolation,84.46,10.73,0.020893323937637875,7.75
ma-ac,0.2,stacking,StackingRegressor,33.408,4.294,0.8458,8.958
ma-ac,0.25,baseline,Mean,89.68,11.41,-0.00033868591563490646,9.47
ma-ac,0.25,baseline,Median,90.79,11.55,-0.025387385634339177,9.47
ma-ac,0.25,baseline,KNNImputer,89.68,11.41,-0.00033868591563490646,9.47
ma-ac,0.25,baseline,ForwardFill,95.04,12.09,-0.12365283612049316,9.19
ma-ac,0.25,baseline,BackwardFill,108.17,13.76,-0.45542425231381767,9.3
ma-ac,0.25,baseline,RollingMean,90.74,11.55,-0.02417163810336498,8.57
ma-ac,0.25,baseline,LinearInterpolation,84.71,10.78,0.10741002278375789,7.86
ma-ac,0.25,stacking,StackingRegressor,39.58,5.0825,0.806,10.6725
ma-ac,0.3,baseline,Mean,88.82,11.3,-0.0003419115864276012,9.32
ma-ac,0.3,baseline,Median,90.09,11.46,-0.02926526945700525,9.35
ma-ac,0.3,baseline,KNNImputer,88.82,11.3,-0.0003419115864276012,9.32
ma-ac,0.3,baseline,ForwardFill,89.27,11.36,-0.010534705418335344,8.77
ma-ac,0.3,baseline,BackwardFill,103.84,13.21,-0.3673258666476451,9.12
ma-ac,0.3,baseline,RollingMean,89.25,11.36,-0.010038097190958606,8.51
ma-ac,0.3,baseline,LinearInterpolation,81.73,10.4,0.1528824352970909,7.74
ma-ac,0.3,stacking,StackingRegressor,47.2767,6.16,0.6847,11.3867
ma-ac,0.35,baseline,Mean,92.23,11.75,-0.0016964710819573625,9.72
ma-ac,0.35,baseline,Median,93.64,11.93,-0.03249635189386879,9.78
ma-ac,0.35,baseline,KNNImputer,92.23,11.75,-0.0016964710819573625,9.72
ma-ac,0.35,baseline,ForwardFill,98.83,12.6,-0.15016629306639517,9.61
ma-ac,0.35,baseline,BackwardFill,113.02,14.4,-0.5042411148452051,9.69
ma-ac,0.35,baseline,RollingMean,99.12,12.63,-0.15706269413590634,9.31
ma-ac,0.35,baseline,LinearInterpolation,89.76,11.44,0.05124868353640266,8.41
ma-ac,0.35,stacking,StackingRegressor,47.2767,6.16,0.6847,11.3867
ma-ac,0.4,baseline,Mean,98.5,12.54,-0.0007497452884031031,27.26
